symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,2,2,2,1,1,1,0,2,0,0,0,1,0,0,0,2,1,0,1,1,1,1,1,1,1,-1,3,2,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,1,1,1,3,3,3,3,1,0,1,0,0,0,0,0,-1,-1,0,-1,-1,3,0,1,1,2,2,2,1,3,3,3,3,3,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,3,3,3,3,3,1,0,2,3,2,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,-1,-1,-1,-1,-1,3,3,-1,-1,2,2,2,2,2,2,2,3,3,0,0,0,-2,-1,-2,-1,-2,-1,-1,-1,-1,-1,-1
?,?,?,164,164,?,158,?,158,?,192,192,188,188,?,?,?,?,121,98,81,118,118,118,148,148,148,148,110,145,137,137,101,101,101,110,78,106,106,85,85,85,107,?,?,?,?,145,?,?,104,104,104,113,113,150,150,150,150,129,115,129,115,?,115,118,?,93,93,93,93,?,142,?,?,?,161,161,161,161,153,153,?,?,?,125,125,125,137,128,128,128,122,103,128,128,122,103,168,106,106,128,108,108,194,194,231,161,161,?,?,161,161,?,?,161,161,161,119,119,154,154,154,74,?,186,?,?,?,?,?,?,150,104,150,104,150,104,83,83,83,102,102,102,102,102,89,89,85,85,87,87,74,77,81,91,91,91,91,91,91,91,91,168,168,168,168,134,134,134,134,134,134,65,65,65,65,65,197,197,90,?,122,122,94,94,94,94,94,?,256,?,?,?,103,74,103,74,103,74,95,95,95,95,95
alfa-romero,alfa-romero,alfa-romero,audi,audi,audi,audi,audi,audi,audi,bmw,bmw,bmw,bmw,bmw,bmw,bmw,bmw,chevrolet,chevrolet,chevrolet,dodge,dodge,dodge,dodge,dodge,dodge,dodge,dodge,dodge,honda,honda,honda,honda,honda,honda,honda,honda,honda,honda,honda,honda,honda,isuzu,isuzu,isuzu,isuzu,jaguar,jaguar,jaguar,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mazda,mercedes-benz,mercedes-benz,mercedes-benz,mercedes-benz,mercedes-benz,mercedes-benz,mercedes-benz,mercedes-benz,mercury,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,mitsubishi,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,nissan,peugot,peugot,peugot,peugot,peugot,peugot,peugot,peugot,peugot,peugot,peugot,plymouth,plymouth,plymouth,plymouth,plymouth,plymouth,plymouth,porsche,porsche,porsche,porsche,porsche,renault,renault,saab,saab,saab,saab,saab,saab,subaru,subaru,subaru,subaru,subaru,subaru,subaru,subaru,subaru,subaru,subaru,subaru,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,toyota,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volvo,volvo,volvo,volvo,volvo,volvo,volvo,volvo,volvo,volvo,volvo
gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,diesel,gas,gas,diesel,diesel,diesel,diesel,diesel,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,diesel,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,diesel,gas,diesel,gas,diesel,gas,diesel,gas,diesel,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,diesel,diesel,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,diesel,gas,gas,gas,gas,gas,gas,gas,diesel,gas,diesel,gas,gas,diesel,gas,gas,gas,gas,diesel,gas,gas,gas,gas,gas,gas,gas,gas,gas,gas,diesel,gas
std,std,std,std,std,std,std,std,turbo,turbo,std,std,std,std,std,std,std,std,std,std,std,std,std,turbo,std,std,std,turbo,std,turbo,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,turbo,turbo,turbo,turbo,std,std,std,std,turbo,std,std,std,turbo,turbo,std,turbo,turbo,turbo,std,std,turbo,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,turbo,std,std,turbo,std,turbo,std,turbo,std,turbo,std,turbo,turbo,std,turbo,std,std,std,std,turbo,std,std,std,std,std,std,std,std,std,std,std,turbo,turbo,std,std,std,std,std,std,std,turbo,std,std,std,turbo,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,turbo,std,std,std,std,std,std,std,std,std,std,std,std,turbo,std,std,std,std,turbo,std,std,std,std,std,turbo,turbo,std,turbo,std,turbo,turbo
two,two,two,four,four,two,four,four,four,two,two,four,two,four,four,four,two,four,two,two,four,two,two,two,four,four,four,?,four,two,two,two,two,two,two,four,four,two,two,four,four,four,two,four,two,four,two,four,four,two,two,two,two,four,four,two,two,two,two,two,four,two,four,?,four,four,four,four,four,two,four,four,two,four,two,two,two,two,two,two,two,two,two,two,two,four,four,four,four,two,two,two,four,four,two,two,four,four,two,four,four,four,four,four,two,two,two,four,four,four,four,four,four,four,four,four,four,four,two,two,four,four,four,four,two,two,two,two,two,two,four,two,two,four,two,four,two,four,two,two,two,four,four,four,four,four,four,four,four,four,two,two,four,four,four,four,four,four,four,four,four,four,four,two,two,two,two,two,two,two,two,two,two,four,four,four,four,four,two,two,four,four,two,two,four,four,four,four,four,two,two,four,four,four,four,four,four,four,four,four,four,four,four,four,four
convertible,convertible,hatchback,sedan,sedan,sedan,sedan,wagon,sedan,hatchback,sedan,sedan,sedan,sedan,sedan,sedan,sedan,sedan,hatchback,hatchback,sedan,hatchback,hatchback,hatchback,hatchback,sedan,sedan,sedan,wagon,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,sedan,wagon,hatchback,hatchback,sedan,sedan,sedan,sedan,sedan,sedan,sedan,hatchback,sedan,sedan,sedan,hatchback,hatchback,hatchback,sedan,sedan,hatchback,hatchback,hatchback,hatchback,hatchback,sedan,hatchback,sedan,sedan,hatchback,sedan,sedan,sedan,wagon,hardtop,sedan,sedan,convertible,sedan,hardtop,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,sedan,sedan,sedan,sedan,sedan,sedan,sedan,sedan,wagon,sedan,hatchback,sedan,wagon,hardtop,hatchback,sedan,sedan,wagon,sedan,hatchback,hatchback,hatchback,sedan,sedan,wagon,wagon,sedan,sedan,wagon,wagon,sedan,sedan,sedan,hatchback,hatchback,hatchback,sedan,sedan,wagon,hatchback,hatchback,hardtop,hardtop,convertible,hatchback,wagon,hatchback,hatchback,sedan,hatchback,sedan,hatchback,sedan,hatchback,hatchback,hatchback,sedan,sedan,sedan,sedan,sedan,wagon,wagon,wagon,wagon,hatchback,hatchback,hatchback,wagon,wagon,wagon,sedan,hatchback,sedan,hatchback,sedan,hatchback,sedan,sedan,hatchback,sedan,hatchback,hardtop,hardtop,hatchback,hardtop,hatchback,convertible,sedan,sedan,hatchback,sedan,hatchback,hatchback,hatchback,sedan,wagon,sedan,sedan,sedan,sedan,sedan,sedan,sedan,convertible,hatchback,sedan,sedan,wagon,sedan,wagon,sedan,wagon,sedan,wagon,sedan,sedan,sedan,sedan,sedan
rwd,rwd,rwd,fwd,4wd,fwd,fwd,fwd,fwd,4wd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,rwd,fwd,fwd,rwd,rwd,rwd,rwd,fwd,fwd,fwd,fwd,fwd,rwd,rwd,rwd,rwd,fwd,fwd,fwd,fwd,fwd,fwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,fwd,fwd,fwd,fwd,fwd,fwd,rwd,rwd,rwd,rwd,rwd,rwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,4wd,fwd,fwd,fwd,4wd,4wd,fwd,fwd,4wd,4wd,fwd,fwd,fwd,fwd,4wd,4wd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,fwd,fwd,fwd,fwd,fwd,rwd,rwd,rwd,rwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,fwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd,rwd
front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,rear,rear,rear,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front,front
88.6,88.6,94.5,99.8,99.4,99.8,105.8,105.8,105.8,99.5,101.2,101.2,101.2,101.2,103.5,103.5,103.5,110,88.4,94.5,94.5,93.7,93.7,93.7,93.7,93.7,93.7,93.7,103.3,95.9,86.6,86.6,93.7,93.7,93.7,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,94.3,94.5,94.5,96,113,113,102,93.1,93.1,93.1,93.1,93.1,95.3,95.3,95.3,95.3,98.8,98.8,98.8,98.8,98.8,98.8,104.9,104.9,110,110,106.7,115.6,115.6,96.6,120.9,112,102.7,93.7,93.7,93.7,93,96.3,96.3,95.9,95.9,95.9,96.3,96.3,96.3,96.3,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,95.1,97.2,97.2,100.4,100.4,100.4,91.3,91.3,99.2,107.9,107.9,114.2,114.2,107.9,107.9,114.2,114.2,107.9,107.9,108,93.7,93.7,93.7,93.7,93.7,103.3,95.9,94.5,89.5,89.5,89.5,98.4,96.1,96.1,99.1,99.1,99.1,99.1,99.1,99.1,93.7,93.7,93.3,97.2,97.2,97.2,97,97,97,97,96.9,96.9,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,94.5,94.5,94.5,94.5,98.4,98.4,98.4,98.4,98.4,98.4,102.4,102.4,102.4,102.4,102.4,102.9,102.9,104.5,104.5,97.3,97.3,97.3,97.3,97.3,97.3,97.3,94.5,94.5,100.4,100.4,100.4,104.3,104.3,104.3,104.3,104.3,104.3,109.1,109.1,109.1,109.1,109.1
